demand_mw,year,month,day,hour,minute,dow,is_weekend,roll_30min,roll_7d,roll_14d,roll_30d
9197.56,2012,5,14,13,0,0,0,9197.56,8393.601160714286,8366.445803571429,8191.344402777778
9156.11,2012,5,14,13,30,0,0,9156.11,8393.421845238096,8366.51669642857,8192.21379861111
9127.71,2012,5,14,14,0,0,0,9127.71,8393.348541666666,8366.63293154762,8193.088631944445
9175.19,2012,5,14,14,30,0,0,9175.19,8393.54931547619,8366.844464285714,8193.997993055555
9081.33,2012,5,14,15,0,0,0,9081.33,8393.572351190476,8366.97443452381,8194.82554861111
9128.3,2012,5,14,15,30,0,0,9128.3,8393.848869047619,8367.199910714286,8195.726298611113
9252.99,2012,5,14,16,0,0,0,9252.99,8394.080059523809,8367.596517857144,8196.7031875
9447.23,2012,5,14,16,30,0,0,9447.23,8394.43568452381,8368.085282738095,8197.769479166665
9799.97,2012,5,14,17,0,0,0,9799.97,8395.258333333335,8368.820416666667,8198.977541666667
10464.59,2012,5,14,17,30,0,0,10464.59,8396.656190476191,8369.934538690475,8200.561173611111
11158.03,2012,5,14,18,0,0,0,11158.03,8398.115089285715,8371.290119047619,8202.398965277778
11227.89,2012,5,14,18,30,0,0,11227.89,8399.691011904762,8372.715342261905,8204.156215277777
11069.86,2012,5,14,19,0,0,0,11069.86,8401.276666666667,8374.207113095239,8205.901020833333
10763.17,2012,5,14,19,30,0,0,10763.17,8402.816428571428,8375.6971875,8207.606243055556
10528.87,2012,5,14,20,0,0,0,10528.87,8404.380684523809,8377.12443452381,8209.268638888889
10320.81,2012,5,14,20,30,0,0,10320.81,8405.976458333333,8378.557276785714,8210.90713888889
10122.81,2012,5,14,21,0,0,0,10122.81,8407.597440476191,8379.992187499998,8212.502402777776
9840.19,2012,5,14,21,30,0,0,9840.19,8409.31675595238,8381.368110119049,8213.998027777778
9447.05,2012,5,14,22,0,0,0,9447.05,8410.510773809523,8382.512053571429,8215.276541666668
9438.18,2012,5,14,22,30,0,0,9438.18,8411.585327380952,8383.54400297619,8216.534895833332
8992.14,2012,5,14,23,0,0,0,8992.14,8412.294672619048,8384.246339285713,8217.535555555554
8832.69,2012,5,14,23,30,0,0,8832.69,8412.895654761905,8384.840119047618,8218.469493055556
8668.62,2012,5,15,0,0,1,0,8668.62,8413.440595238095,8385.40831845238,8219.373798611112
8263.14,2012,5,15,0,30,1,0,8263.14,8413.50369047619,8385.704702380954,8220.148402777777
7998.87,2012,5,15,1,0,1,0,7998.87,8413.449434523809,8385.908571428572,8220.874500000002
